vertex_name,col_name
edge_person_reserve_airline,sfzh
edge_person_reserve_airline,airlineid
edge_person_reserve_airline,hbh
edge_person_reserve_airline,cwdj
edge_person_reserve_airline,hbrq
edge_person_reserve_airline,czsj
edge_person_reserve_airline,sfd
edge_person_reserve_airline,mdd
edge_person_reserve_airline,tablename
edge_person_spouse_person,sfzhnan
edge_person_spouse_person,sfzhnv
edge_person_spouse_person,start_time
edge_person_spouse_person,end_time
edge_person_spouse_person,tablename
edge_person_checkin_train,sfzh
edge_person_checkin_train,tgkkdm
edge_person_checkin_train,tgkkmc
edge_person_checkin_train,tgsj
edge_person_checkin_train,tablename
edge_certificate_open_phone,certificateid
edge_certificate_open_phone,phone
edge_certificate_open_phone,start_time
edge_certificate_open_phone,end_time
edge_certificate_open_phone,is_xiaohu
edge_certificate_open_phone,tablename
edge_person_has_ssaccount,sfzh
edge_person_has_ssaccount,sbkh
edge_person_has_ssaccount,link_time
edge_person_has_ssaccount,tablename
edge_find_common_greatgrand,sfzh1
edge_find_common_greatgrand,sfzh2
edge_find_spouse,sfzhnan
edge_find_spouse,sfzhnnv
edge_person_work_school,start_person
edge_person_work_school,end_school_id
edge_person_work_school,start_time
edge_person_work_school,end_time
edge_person_work_school,jszc
edge_person_work_school,cjgzsj
edge_person_work_school,gzxz
edge_person_work_school,sjkm
edge_person_work_school,tablename
edge_find_father,sfzh
edge_find_father,fqsfzh
edge_find_grandparents,sfzh
edge_find_grandparents,grandsfzh
edge_find_greatgrands,sfzh
edge_find_greatgrands,greatgrandsfzh
edge_find_mother,sfzh
edge_find_mother,mqsfzh
edge_person_attend_college,start_person
edge_person_attend_college,end_college_id
edge_person_attend_college,start_time
edge_person_attend_college,end_time
edge_person_attend_college,zymc
edge_person_attend_college,xuehao
edge_person_attend_college,xuezhi
edge_person_attend_college,tablename
edge_person_fatherIs_person,sfzh
edge_person_fatherIs_person,fqsfzh
edge_person_fatherIs_person,start_time
edge_person_fatherIs_person,end_time
edge_person_fatherIs_person,tablename
edge_case_SuspectIs_person,asjbh
edge_case_SuspectIs_person,sfzh
edge_case_SuspectIs_person,start_time
edge_case_SuspectIs_person,end_time
edge_case_SuspectIs_person,tablename
edge_certificate_link_phone,certificateid
edge_certificate_link_phone,phone
edge_certificate_link_phone,start_time
edge_certificate_link_phone,end_time
edge_certificate_link_phone,num
edge_certificate_link_phone,tablename
edge_vehicle_sameguarantee,start_person
edge_vehicle_sameguarantee,end_person
edge_person_stay_hotel,sfzh
edge_person_stay_hotel,lgdm
edge_person_stay_hotel,start_time
edge_person_stay_hotel,end_time
edge_person_stay_hotel,num
edge_internetbar_use_ip,siteid
edge_internetbar_use_ip,ip
edge_internetbar_use_ip,start_time
edge_internetbar_use_ip,end_time
edge_internetbar_use_ip,tablename
edge_person_reserve_trainline,sfzh
edge_person_reserve_trainline,trianid
edge_person_reserve_trainline,cc
edge_person_reserve_trainline,spsj
edge_person_reserve_trainline,fcrq
edge_person_reserve_trainline,zwh
edge_person_reserve_trainline,fz
edge_person_reserve_trainline,dz
edge_person_reserve_trainline,tablename
edge_wechat_msg_wechat,start_account
edge_wechat_msg_wechat,end_account
edge_wechat_msg_wechat,start_time
edge_wechat_msg_wechat,end_time
edge_wechat_msg_wechat,num
edge_wechat_msg_wechat,tablename
edge_person_arrived_airline,sfzh
edge_person_arrived_airline,airlineid
edge_person_arrived_airline,hbh
edge_person_arrived_airline,cwdj
edge_person_arrived_airline,zwh
edge_person_arrived_airline,hbrq
edge_person_arrived_airline,yjddsj
edge_person_arrived_airline,sfd
edge_person_arrived_airline,mdd
edge_person_arrived_airline,tablename
edge_phone_send_package,phone
edge_phone_send_package,packageid
edge_phone_send_package,send_time
edge_phone_send_package,tablename
edge_person_guardianIs_person,sfzh
edge_person_guardianIs_person,jhrsfzh
edge_person_guardianIs_person,start_time
edge_person_guardianIs_person,end_time
edge_person_guardianIs_person,tablename
edge_person_guaranteeis_person,start_person
edge_person_guaranteeis_person,end_person
edge_person_guaranteeis_person,start_time
edge_person_guaranteeis_person,end_time
edge_person_guaranteeis_person,tablename
edge_find_common_grand,sfzh1
edge_find_common_grand,sfzh2
edge_vehicle_has_autolpn,start_vehicle
edge_vehicle_has_autolpn,end_autolpn
edge_vehicle_has_autolpn,start_time
edge_vehicle_has_autolpn,end_time
edge_vehicle_has_autolpn,tablename
edge_email_use_phone,email
edge_email_use_phone,phone
edge_email_use_phone,start_time
edge_email_use_phone,end_time
edge_email_use_phone,num
edge_email_use_phone,tablename
edge_person_hire_house,start_person
edge_person_hire_house,end_house_id
edge_person_hire_house,fwdz
edge_person_hire_house,start_time
edge_person_hire_house,end_time
edge_person_hire_house,htbh
edge_person_hire_house,xm
edge_person_hire_house,hx
edge_person_hire_house,fwlx
edge_person_hire_house,phone
edge_person_hire_house,mph
edge_person_hire_house,tablename
edge_person_maintain_vehicle,start_person
edge_person_maintain_vehicle,end_vehicle
edge_person_maintain_vehicle,start_time
edge_person_maintain_vehicle,end_time
edge_person_maintain_vehicle,tablename
edge_person_link_hukou,sfzh
edge_person_link_hukou,hukouid
edge_person_link_hukou,start_time
edge_person_link_hukou,end_time
edge_person_link_hukou,isfl
edge_person_link_hukou,yhzgx
edge_person_link_hukou,tablename
edge_person_surfing_internetbar,sfzh
edge_person_surfing_internetbar,siteid
edge_person_surfing_internetbar,start_time
edge_person_surfing_internetbar,end_time
edge_person_surfing_internetbar,num
edge_person_surfing_internetbar,tablename
edge_phone_list_phone,start_phone
edge_phone_list_phone,end_phone
edge_phone_list_phone,start_time
edge_phone_list_phone,end_time
edge_phone_list_phone,relationship_name
edge_phone_list_phone,relationship_email
edge_phone_list_phone,relationship_address
edge_phone_list_phone,tablename
edge_person_attend_school,start_person
edge_person_attend_school,end_school_id
edge_person_attend_school,start_time
edge_person_attend_school,end_time
edge_person_attend_school,fymc
edge_person_attend_school,bj
edge_person_attend_school,zymc
edge_person_attend_school,xuezhi
edge_person_attend_school,tablename
edge_person_own_autolpn,start_person
edge_person_own_autolpn,end_autolpn
edge_person_own_autolpn,start_time
edge_person_own_autolpn,end_time
edge_person_own_autolpn,tablename
edge_person_smz_phone,start_person
edge_person_smz_phone,end_phone
edge_person_smz_phone,start_time
edge_person_smz_phone,end_time
edge_person_smz_phone,xm
edge_person_smz_phone,cnt
edge_person_smz_phone,matches
edge_person_smz_phone,match_src
edge_person_smz_phone,time_rn
edge_person_smz_phone,matches_rn
edge_person_smz_phone,cert_src
edge_person_smz_phone,cert_weigth
edge_case_reportby_person,asjbh
edge_case_reportby_person,sfzh
edge_case_reportby_person,start_time
edge_case_reportby_person,end_time
edge_case_reportby_person,tablename
edge_person_motherIs_person,sfzh
edge_person_motherIs_person,mqsfzh
edge_person_motherIs_person,start_time
edge_person_motherIs_person,end_time
edge_person_motherIs_person,tablename
edge_case_suspicious_person,asjbh
edge_case_suspicious_person,sfzh
edge_case_suspicious_person,start_time
edge_case_suspicious_person,end_time
edge_case_suspicious_person,tablename
edge_person_stay_jail_qjs,sfzh
edge_person_stay_jail_qjs,jsbh
edge_person_stay_jail_qjs,sylx
edge_person_stay_jail_qjs,rsyy
edge_person_stay_jail_qjs,start_time
edge_person_stay_jail_qjs,end_time
edge_person_stay_jail_qjs,fjh
edge_person_stay_jail_qjs,tablename
edge_person_stay_jail_jls,sfzh
edge_person_stay_jail_jls,jsbh
edge_person_stay_jail_jls,sylx
edge_person_stay_jail_jls,rsyy
edge_person_stay_jail_jls,start_time
edge_person_stay_jail_jls,end_time
edge_person_stay_jail_jls,fjh
edge_person_stay_jail_jls,rsgjmjid
edge_person_stay_jail_jls,csgjmjid
edge_person_stay_jail_jls,tablename
edge_person_open_phone,sfzh
edge_person_open_phone,phone
edge_person_open_phone,start_time
edge_person_open_phone,end_time
edge_person_open_phone,is_xiaohu
edge_person_open_phone,tablename
edge_qq_msg_qq,start_account
edge_qq_msg_qq,end_account
edge_qq_msg_qq,start_time
edge_qq_msg_qq,end_time
edge_qq_msg_qq,num
edge_qq_msg_qq,tablename
edge_vehicle_sameintroducer,start_person
edge_vehicle_sameintroducer,end_person
edge_qq_use_phone,account
edge_qq_use_phone,phone
edge_qq_use_phone,start_time
edge_qq_use_phone,end_time
edge_qq_use_phone,num
edge_qq_use_phone,tablename
edge_person_work_com,start_person
edge_person_work_com,end_company
edge_person_work_com,start_time
edge_person_work_com,end_time
edge_person_work_com,tablename
edge_person_visit_person,tfrsfzh
edge_person_visit_person,sfzh
edge_person_visit_person,start_time
edge_person_visit_person,end_time
edge_person_visit_person,num
edge_person_visit_person,tablename
edge_person_reserve_coachline,sfzh
edge_person_reserve_coachline,coachid
edge_person_reserve_coachline,spsj
edge_person_reserve_coachline,zwh
edge_person_reserve_coachline,gpczmc
edge_person_reserve_coachline,tablename
edge_person_principal_com,start_person
edge_person_principal_com,end_company
edge_person_principal_com,start_time
edge_person_principal_com,end_time
edge_person_principal_com,tablename
edge_person_introduceris_person,start_person
edge_person_introduceris_person,end_person
edge_person_introduceris_person,start_time
edge_person_introduceris_person,end_time
edge_person_introduceris_person,tablename
edge_wechat_use_phone,account
edge_wechat_use_phone,phone
edge_wechat_use_phone,start_time
edge_wechat_use_phone,end_time
edge_wechat_use_phone,num
edge_wechat_use_phone,tablename
edge_find_common_mother,sfzh1
edge_find_common_mother,sfzh2
edge_same_kss,sfzh1
edge_same_kss,sfzh2
edge_same_kss,data
edge_same_kss,num
edge_same_kss,start_time
edge_same_kss,end_time
edge_same_qjs,sfzh1
edge_same_qjs,sfzh2
edge_same_qjs,data
edge_same_qjs,num
edge_same_qjs,start_time
edge_same_qjs,end_time
edge_person_buy_vehicle,start_person
edge_person_buy_vehicle,end_vehicle
edge_person_buy_vehicle,start_time
edge_person_buy_vehicle,end_time
edge_person_buy_vehicle,tablename
edge_person_invest_com,start_person
edge_person_invest_com,end_company
edge_person_invest_com,start_time
edge_person_invest_com,end_time
edge_person_invest_com,tablename
edge_person_link_phone,sfzh
edge_person_link_phone,phone
edge_person_link_phone,start_time
edge_person_link_phone,end_time
edge_person_link_phone,linknum
edge_person_link_phone,tablename
edge_phonenumber_use_imei,phone
edge_phonenumber_use_imei,imei
edge_phonenumber_use_imei,start_time
edge_phonenumber_use_imei,end_time
edge_phonenumber_use_imei,tablename
