tablename	table_desc	column	col_type	index
ods_pol_pub_dw_evt	电围事件信息	capture_time	bigint	12
ods_pol_pub_dw_evt	电围事件信息	elefen_event_type_code	string	13
ods_pol_pub_dw_evt	电围事件信息	user_num	string	14
ods_pol_pub_dw_evt	电围事件信息	user_homloc_ctct_tel_arcod	string	15
ods_pol_pub_dw_evt	电围事件信息	oppos_num	string	16
ods_pol_pub_dw_evt	电围事件信息	oppos_homloc_ctct_tel_arcod	string	17
ods_pol_pub_dw_evt	电围事件信息	user_imsi	string	18
ods_pol_pub_dw_evt	电围事件信息	user_imei	string	19
ods_pol_pub_dw_evt	电围事件信息	loc_area_code	string	22
ods_pol_pub_dw_evt	电围事件信息	bassta_houest_idecod	string	23
ods_pol_pub_dw_evt	电围事件信息	bassta_lon	string	24
ods_pol_pub_dw_evt	电围事件信息	bassta_lat	string	25
ods_pol_pub_dw_evt	电围事件信息	bassta_geohash	string	38
ods_pol_pub_dw_evt	电围事件信息	norma_bassta_lon	string	44
ods_pol_pub_dw_evt	电围事件信息	norma_bassta_lat	string	45
ods_pol_pub_dw_evt	电围事件信息	norma_bassta_geohash	string	46
ods_gov_edu_stud_info	大中小学生信息	coll_time	string	6
ods_gov_edu_stud_info	大中小学生信息	name	string	10
ods_gov_edu_stud_info	大中小学生信息	fur_name	string	11
ods_gov_edu_stud_info	大中小学生信息	cert_no	string	18
ods_gov_edu_stud_info	大中小学生信息	cred_num	string	21
ods_gov_edu_stud_info	大中小学生信息	nation	string	22
ods_gov_edu_stud_info	大中小学生信息	nation_desig	string	23
ods_gov_edu_stud_info	大中小学生信息	birth_date	string	26
ods_gov_edu_stud_info	大中小学生信息	native_addi_code	string	29
ods_gov_edu_stud_info	大中小学生信息	native_addi_name	string	30
ods_gov_edu_stud_info	大中小学生信息	domic_addr_name	string	31
ods_gov_edu_stud_info	大中小学生信息	fami_addr_addr_name	string	32
ods_gov_edu_stud_info	大中小学生信息	pred_addr_name	string	33
ods_gov_edu_stud_info	大中小学生信息	educ_leve_name	string	38
ods_gov_edu_stud_info	大中小学生信息	educ_code	string	39
ods_gov_edu_stud_info	大中小学生信息	eduhis_name	string	40
ods_gov_edu_stud_info	大中小学生信息	pol_stat	string	41
ods_gov_edu_stud_info	大中小学生信息	polsta_name	string	42
ods_gov_edu_stud_info	大中小学生信息	leav_sch_judge_flag	string	43
ods_gov_edu_stud_info	大中小学生信息	scho_no	string	44
ods_gov_edu_stud_info	大中小学生信息	scho_name	string	45
ods_gov_edu_stud_info	大中小学生信息	acad_desig	string	46
ods_gov_edu_stud_info	大中小学生信息	profe_name	string	47
ods_gov_edu_stud_info	大中小学生信息	prof_noun	string	48
ods_gov_edu_stud_info	大中小学生信息	grade	string	49
ods_gov_edu_stud_info	大中小学生信息	class	string	50
ods_gov_edu_stud_info	大中小学生信息	clanum	string	51
ods_gov_edu_stud_info	大中小学生信息	stunum	string	52
ods_gov_edu_stud_info	大中小学生信息	guar_name	string	53
ods_gov_edu_stud_info	大中小学生信息	guar_cert_no	string	54
ods_gov_edu_stud_info	大中小学生信息	guar_ctct_tel	string	55
ods_gov_edu_stud_info	大中小学生信息	father_name	string	60
ods_gov_edu_stud_info	大中小学生信息	father_cert_no	string	61
ods_gov_edu_stud_info	大中小学生信息	father_ctct_tel	string	62
ods_gov_edu_stud_info	大中小学生信息	father_pred_addr_name	string	63
ods_gov_edu_stud_info	大中小学生信息	mother_name	string	66
ods_gov_edu_stud_info	大中小学生信息	mother_cert_no	string	67
ods_gov_edu_stud_info	大中小学生信息	mother_ctct_tel	string	68
ods_gov_edu_stud_info	大中小学生信息	mother_pred_addr_name	string	69
ods_gov_edu_stud_info	大中小学生信息	ente_scho_year	string	95
ods_gov_edu_stud_info	大中小学生信息	stud_num	string	96
ods_gov_edu_stud_info	大中小学生信息	scho_leve	string	97
ods_gov_edu_stud_info	大中小学生信息	edusys	string	100
ods_gov_edu_stud_info	大中小学生信息	ente_scho_date	string	108
ods_gov_edu_stud_info	大中小学生信息	grad_date	string	109
ods_pol_per_actu_popu	实有人口	coll_time	string	6
ods_pol_per_actu_popu	实有人口	cred_num	string	17
ods_pol_per_actu_popu	实有人口	name	string	18
ods_pol_per_actu_popu	实有人口	fur_name	string	19
ods_pol_per_actu_popu	实有人口	for_first_name	string	20
ods_pol_per_actu_popu	实有人口	for_last_name	string	21
ods_pol_per_actu_popu	实有人口	nation	string	24
ods_pol_per_actu_popu	实有人口	nation_desig	string	25
ods_pol_per_actu_popu	实有人口	educ_code	string	26
ods_pol_per_actu_popu	实有人口	eduhis_name	string	27
ods_pol_per_actu_popu	实有人口	mar_sta_code	string	28
ods_pol_per_actu_popu	实有人口	mar_sta_name	string	29
ods_pol_per_actu_popu	实有人口	pol_stat	string	30
ods_pol_per_actu_popu	实有人口	polsta_name	string	31
ods_pol_per_actu_popu	实有人口	prof	string	38
ods_pol_per_actu_popu	实有人口	prof_tcode	string	39
ods_pol_per_actu_popu	实有人口	prof_tname	string	40
ods_pol_per_actu_popu	实有人口	nation_code	string	48
ods_pol_per_actu_popu	实有人口	nation_name	string	49
ods_pol_per_actu_popu	实有人口	native_cty_code	string	50
ods_pol_per_actu_popu	实有人口	native_cty_name	string	51
ods_pol_per_actu_popu	实有人口	native_addi_code	string	52
ods_pol_per_actu_popu	实有人口	native_addi_name	string	53
ods_pol_per_actu_popu	实有人口	domic_descr	string	54
ods_pol_per_actu_popu	实有人口	domic_own_pol_stat_psag_code	string	55
ods_pol_per_actu_popu	实有人口	domic_own_pol_stat_psag	string	56
ods_pol_per_actu_popu	实有人口	domic_addi_code	string	57
ods_pol_per_actu_popu	实有人口	domic_admin_name	string	58
ods_pol_per_actu_popu	实有人口	domic_door_no	string	59
ods_pol_per_actu_popu	实有人口	domic_door_deta_addr	string	60
ods_pol_per_actu_popu	实有人口	domic_addr_code	string	61
ods_pol_per_actu_popu	实有人口	domic_addr_name	string	62
ods_pol_per_actu_popu	实有人口	actu_live_addr_addi_code	string	63
ods_pol_per_actu_popu	实有人口	actu_live_addr_admin_name	string	64
ods_pol_per_actu_popu	实有人口	actu_live_addr_door_no	string	65
ods_pol_per_actu_popu	实有人口	actu_live_addr_door_deta_addr	string	66
ods_pol_per_actu_popu	实有人口	actu_live_addr_addr_code	string	67
ods_pol_per_actu_popu	实有人口	actu_live_addr_addr_name	string	68
ods_pol_per_actu_popu	实有人口	actu_live_addr_lon	string	69
ods_pol_per_actu_popu	实有人口	actu_live_addr_lat	string	70
ods_pol_per_actu_popu	实有人口	actu_live_addr_geohash	string	71
ods_pol_per_actu_popu	实有人口	canc_judge_flag	string	91
ods_pol_per_actu_popu	实有人口	canc_reas	string	92
ods_pol_per_actu_popu	实有人口	death_date	string	107
ods_gov_edu_kindergarten_stu	幼儿园学生信息	coll_time	string	6
ods_gov_edu_kindergarten_stu	幼儿园学生信息	name	string	10
ods_gov_edu_kindergarten_stu	幼儿园学生信息	cert_no	string	14
ods_gov_edu_kindergarten_stu	幼儿园学生信息	native_addi_code	string	15
ods_gov_edu_kindergarten_stu	幼儿园学生信息	native_addi_name	string	16
ods_gov_edu_kindergarten_stu	幼儿园学生信息	domic_addr_name	string	17
ods_gov_edu_kindergarten_stu	幼儿园学生信息	kindergarten_desig	string	19
ods_gov_edu_kindergarten_stu	幼儿园学生信息	kindergarten_addr_name	string	20
ods_gov_edu_kindergarten_stu	幼儿园学生信息	guar1_name	string	23
ods_gov_edu_kindergarten_stu	幼儿园学生信息	guar1_addr_addr_name	string	24
ods_gov_edu_kindergarten_stu	幼儿园学生信息	guar1_ctct_tel	string	25
ods_gov_edu_kindergarten_stu	幼儿园学生信息	guar1_cert_no	string	26
ods_gov_edu_kindergarten_stu	幼儿园学生信息	guar2_name	string	31
ods_gov_edu_kindergarten_stu	幼儿园学生信息	guar2_addr_name	string	32
ods_gov_edu_kindergarten_stu	幼儿园学生信息	guar2_ctct_tel	string	33
ods_gov_edu_kindergarten_stu	幼儿园学生信息	guar2_cert_no	string	34
ods_gov_edu_kindergarten_stu	幼儿园学生信息	guar_rel_name	string	38
ods_gov_edu_scho_info	学校信息	coll_time	string	6
ods_gov_edu_scho_info	学校信息	scho_no	string	10
ods_gov_edu_scho_info	学校信息	scho_name	string	11
ods_gov_edu_scho_info	学校信息	his_scho_name	string	12
ods_gov_edu_scho_info	学校信息	scho_addr_name	string	13
ods_gov_edu_scho_info	学校信息	admi_priper_name	string	17
ods_gov_edu_scho_info	学校信息	admi_priper_cert_no	string	18
ods_gov_edu_scho_info	学校信息	admi_priper_job_name	string	19
ods_gov_edu_scho_info	学校信息	admi_priper_ctct_tel	string	20
ods_gov_edu_scho_info	学校信息	party_priper_name	string	21
ods_gov_edu_scho_info	学校信息	party_priper_cert_no	string	22
ods_gov_edu_scho_info	学校信息	party_priper_job_name	string	23
ods_gov_edu_scho_info	学校信息	party_priper_ctct_tel	string	24
ods_gov_edu_scho_info	学校信息	busi_prin_per_name	string	25
ods_gov_edu_scho_info	学校信息	busi_prin_per_cert_no	string	26
ods_gov_edu_scho_info	学校信息	busi_prin_per_job_name	string	27
ods_gov_edu_scho_info	学校信息	busi_prin_per_ctct_tel	string	28
ods_gov_edu_scho_info	学校信息	scho_creat_time	string	29
ods_gov_edu_scho_info	学校信息	lat	string	30
ods_gov_edu_scho_info	学校信息	lon	string	31
ods_gov_edu_scho_info	学校信息	scho_leve	string	33
ods_gov_edu_scho_info	学校信息	scho_natu	string	34
ods_gov_edu_scho_info	学校信息	scho_type	string	35
ods_gov_nca_bircer_info	出生证信息	name	string	10
ods_gov_nca_bircer_info	出生证信息	cert_no	string	13
ods_gov_nca_bircer_info	出生证信息	fami_addr_addr_name	string	21
ods_gov_nca_bircer_info	出生证信息	mother_name	string	24
ods_gov_nca_bircer_info	出生证信息	mother_cert_no	string	26
ods_gov_nca_bircer_info	出生证信息	father_name	string	27
ods_gov_nca_bircer_info	出生证信息	father_cert_no	string	29
ods_gov_nca_bircer_info	出生证信息	sign_date	string	31
ods_gov_mca_civadm_marreg	婚姻登记信息	coll_time	string	6
ods_gov_mca_civadm_marreg	婚姻登记信息	no	string	10
ods_gov_mca_civadm_marreg	婚姻登记信息	marr_regbus_clas_code	string	11
ods_gov_mca_civadm_marreg	婚姻登记信息	marr_regbus_clas_name	string	12
ods_gov_mca_civadm_marreg	婚姻登记信息	man_name	string	13
ods_gov_mca_civadm_marreg	婚姻登记信息	woman_name	string	14
ods_gov_mca_civadm_marreg	婚姻登记信息	man_cert_no	string	25
ods_gov_mca_civadm_marreg	婚姻登记信息	woman_cert_no	string	26
ods_gov_mca_civadm_marreg	婚姻登记信息	man_nation_code	string	27
ods_gov_mca_civadm_marreg	婚姻登记信息	man_nation_name	string	28
ods_gov_mca_civadm_marreg	婚姻登记信息	woman_nation_code	string	29
ods_gov_mca_civadm_marreg	婚姻登记信息	woman_nation_name	string	30
ods_gov_mca_civadm_marreg	婚姻登记信息	man_nation	string	31
ods_gov_mca_civadm_marreg	婚姻登记信息	man_nation_desig	string	32
ods_gov_mca_civadm_marreg	婚姻登记信息	woman_nation	string	33
ods_gov_mca_civadm_marreg	婚姻登记信息	woman_nation_desig	string	34
ods_gov_mca_civadm_marreg	婚姻登记信息	man_educ_leve_code	string	41
ods_gov_mca_civadm_marreg	婚姻登记信息	man_educ_leve_name	string	42
ods_gov_mca_civadm_marreg	婚姻登记信息	woman_educ_leve_code	string	43
